API Name,Base URL,Source URL
"행정안전부_자원환경_건물위생관리업 조회서비스","apis.data.go.kr/1741000/building_sanitation","https://www.data.go.kr/data/15154949/openapi.do"
"행정안전부_문화_인터넷컴퓨터게임시설제공업 조회서비스","apis.data.go.kr/1741000/pc_bangs","https://www.data.go.kr/data/15154951/openapi.do"
"행정안전부_동물_동물병원 조회서비스","apis.data.go.kr/1741000/animal_hospitals","https://www.data.go.kr/data/15154952/openapi.do"
"행정안전부_자원환경_건설폐기물처리업 조회서비스","apis.data.go.kr/1741000/construction_waste_disposal","https://www.data.go.kr/data/15154954/openapi.do"
"행정안전부_문화_일반게임제공업 조회서비스","apis.data.go.kr/1741000/general_game_providers","https://www.data.go.kr/data/15154955/openapi.do"
"행정안전부_생활_방문판매업 조회서비스","apis.data.go.kr/1741000/door_to_door_sales","https://www.data.go.kr/data/15154956/openapi.do"
"행정안전부_동물_동물생산업 조회서비스","apis.data.go.kr/1741000/animal_breeding","https://www.data.go.kr/data/15154957/openapi.do"
"행정안전부_문화_청소년게임제공업 조회서비스","apis.data.go.kr/1741000/youth_game_providers","https://www.data.go.kr/data/15154958/openapi.do"
"행정안전부_생활_전화권유판매업 조회서비스","apis.data.go.kr/1741000/telemarketing_sales","https://www.data.go.kr/data/15154960/openapi.do"
"행정안전부_동물_동물수입업 조회서비스","apis.data.go.kr/1741000/animal_import","https://www.data.go.kr/data/15154961/openapi.do"
"행정안전부_생활_통신판매업 조회서비스","apis.data.go.kr/1741000/ecommerce_businesses","https://www.data.go.kr/data/15154963/openapi.do"
"행정안전부_자원환경_급수공사대행업 조회서비스","apis.data.go.kr/1741000/water_supply_agents","https://www.data.go.kr/data/15154964/openapi.do"
"행정안전부_문화_공연장 조회서비스","apis.data.go.kr/1741000/performance_halls","https://www.data.go.kr/data/15154966/openapi.do"
"행정안전부_자원환경_단독정화조 및 오수처리시설설계시공업 조회서비스","apis.data.go.kr/1741000/septic_sewage_design_build","https://www.data.go.kr/data/15154968/openapi.do"
"행정안전부_생활_후원방문판매업체 조회서비스","apis.data.go.kr/1741000/sponsored_door_to_door_sales","https://www.data.go.kr/data/15154969/openapi.do"
"행정안전부_문화_관광공연장업 조회서비스","apis.data.go.kr/1741000/tourist_performance_halls","https://www.data.go.kr/data/15154970/openapi.do"
